h11,log10_mass_over_Mpl_median_mean,log10_mass_over_Mpl_median_std,log10_f_over_Mpl_median_mean,log10_f_over_Mpl_median_std,log10_coupling_median_mean,log10_coupling_median_std,mass_eV_min_mean,mass_eV_min_std,mass_eV_max_mean,mass_eV_max_std,abs_coupling_min_mean,abs_coupling_min_std,abs_coupling_max_mean,abs_coupling_max_std
196,-1.8605534998513047,1.1881992995138095,-7.543701590639985,0.9639172526739654,-19.02712070813814,4.114487705489085,8.066637956872076e+22,1.5672199924569413e+23,3.505458533887311e+33,4.792645879708378e+33,1.4283276862435177e-26,2.3223249248353293e-26,1.0725758438444564e-13,1.2812206451808135e-13
197,-2.171042560454742,1.077864288991004,-7.198381587903606,0.4382109896052866,-18.301273814779137,4.041321193917794,3.920900422864564e+22,5.534915103809489e+22,1.1605341381926885e+33,1.9890995072327744e+33,9.139642135301314e-27,1.692249434572902e-26,4.679533584419481e-14,4.985740835251196e-14
198,-1.729646995996864,1.3976006076967762,-7.1619253996963765,0.7534691178669164,-21.822633861149065,4.678681864715646,9.486805821549294e+21,9.084004235287408e+21,6.15356197824998e+32,6.612964348701146e+32,9.392184937170237e-27,1.937577298275768e-26,2.3761336430997676e-13,3.543941832724535e-13
199,-2.2449062345038824,0.9131544676660064,-7.052032595828076,0.5007524889625196,-19.358435910952988,4.425808992298323,1.0855515285274323e+22,1.4885559728193183e+22,8.399512689595321e+32,1.0034482397152616e+33,3.246194291410718e-25,7.352448342887525e-25,6.88790607266324e-14,1.1940439646099178e-13
200,-2.9016001246806566,0.7256706275822071,-6.77372857133237,0.965981841590882,-16.74388954627506,1.2782374995653718,7.65210900564049e+21,9.712348720303994e+21,6.1055283071813566e+32,1.0547746694324409e+33,1.630851154709014e-25,2.723323189278865e-25,8.86053017232461e-14,1.9086327275342305e-13
201,-1.6094251853557673,1.3678536195842765,-7.542246648038524,0.6386795075712353,-20.52749711526473,4.255121646153161,9.33813452168921e+21,1.6108800514773863e+22,1.403749932815024e+33,2.1511158506612328e+33,1.2544588249381436e-26,3.290924704251372e-26,1.7851706534718298e-13,3.764944190871439e-13
202,-1.2463126199409988,1.3456087956497038,-7.575009110582011,0.6747776337296187,-19.768709022454395,3.8304913109597667,3.8213251745861595e+22,6.113837154846262e+22,1.4258670471050425e+33,2.014109504279494e+33,9.162294582950819e-27,1.0816993211291269e-26,1.2703244348799643e-13,2.164694493789661e-13
203,-2.435034887095603,0.9500737269931862,-7.2489468521022244,0.6273699080672396,-18.68422834309234,2.961944853879167,6.134161532081297e+21,4.885819398512348e+21,9.240738319881877e+32,1.1210359073465341e+33,4.243373478420546e-26,1.1306823973949696e-25,4.074019768371264e-14,1.0075749184599946e-13
204,-2.3051840486907893,0.4330458474123268,-7.0536425554181985,0.5762511808550044,-19.10209798237809,4.425393659353556,1.6410760106849505e+22,3.1015905661876213e+22,4.527334834685543e+32,3.983498361146013e+32,7.881675124338353e-26,1.6265260134756975e-25,1.335011416127751e-13,3.561852855774819e-13
205,-2.185079665185154,1.0601065062724513,-7.0239549001631545,0.35645838600092744,-19.142435120341283,3.4103968582236233,1.0064324079643655e+22,8.788660898785907e+21,4.688889634885481e+32,2.969024892211967e+32,8.962978712936998e-27,1.306246046422252e-26,5.5138216261772635e-14,8.93130260699289e-14
206,-1.6712189670149526,1.3093963021633614,-7.339166796755327,0.7105935421408348,-19.950111461552265,3.917300717062392,2.576947273982635e+22,3.1737437910871944e+22,1.1028907782561396e+33,8.05714430029276e+32,1.855810077107463e-26,3.5996473435023115e-26,2.374305897949956e-13,5.283702064491841e-13
207,-1.6285763600134437,1.3570807218076508,-7.611891451660901,0.7181359205711814,-18.333427906249888,3.7949584801201866,3.905237834967471e+22,6.456394628051688e+22,2.2990602462454672e+33,2.642703915694528e+33,6.359806221361935e-26,1.1693652314569676e-25,1.70224888235208e-13,2.549621178339161e-13
208,-1.0924561540341802,1.86453524861524,-7.825012688649094,1.2377056640075867,-19.935501640620153,5.5957573920340495,8.202816764709669e+22,1.6202632676638e+23,1.8035882063785196e+34,4.748350503645173e+34,8.144816132234456e-26,1.5925128871192482e-25,2.5466230424237774e-11,7.694074574835191e-11
209,-1.4379564230513906,1.6636823568880705,-7.731393208158219,1.1242115330307243,-21.116885634127858,3.7843926528493435,3.3437217520628217e+22,6.698512299780062e+22,1.953416833288509e+34,5.723411882596064e+34,6.176084338373301e-26,8.915200373679409e-26,7.369895854928702e-12,2.197178200980369e-11
210,-1.9465496142889198,1.9942896884918326,-6.796794591083841,0.867541881764935,-20.25977771147633,4.597708400009561,2.2473667131857883e+22,4.914998802068892e+22,5.372846220482087e+32,7.133453752805496e+32,1.3067952304676095e-26,3.377610486772259e-26,9.14368830407765e-14,2.1955387452285027e-13
211,-2.060041892624916,1.2099915052505188,-7.175454791885848,0.6762506191080446,-21.103620543671763,4.090730030373477,1.0708960607409782e+22,1.633335040799008e+22,7.462853252890179e+32,8.41685092433012e+32,1.0069693106599135e-25,3.079893152969625e-25,9.166508917379464e-14,1.517815305000771e-13
