h11,cy_index,log10_mass_over_Mpl_median,log10_f_over_Mpl_median,log10_coupling_median,mass_eV_min,mass_eV_max,abs_coupling_min,abs_coupling_max,axion_index_count
11,1,-9.036143913150376,10.02098250277882,-18.29277416896386,3.120682474161468e+17,1.82091161061696e+27,8.204430004516005e-21,1.8311817578307595e-18,6
11,2,-22.77820236066259,18.218517199539445,-18.973781408313435,18478.85789967961,56919286821148.32,1.7577184113331562e-20,5.428301496673361e-19,6
11,3,-20.582560806550283,1.6111406973056996,-27.43990351890728,1940.138955156173,1446292575741.3755,2.162612174591329e-29,9.459413049456718e-18,6
11,4,-18.93892740501447,-3.838237104661667,-19.198729274629862,91697697.89639471,3.999178329179768e+16,4.4658342968903885e-29,2.1537831808869456e-19,6
11,5,-6.993381313113101,20.37063795998974,-17.69084363426245,3.924588500723285e+18,2.326846481437297e+29,3.655490743996868e-19,8.250598365014599e-18,6
11,6,-8.584113680979543,6.677014162716735,-18.610459503355344,1.545096117445707e+17,1.015324751940779e+27,1.4714052646811266e-20,7.51743026370865e-19,7
11,7,-6.283299085614534,20.201220959703463,-32.15917689262218,1.6441266308216825e+20,7.843935233031617e+28,2.64676896914913e-34,7.933797672004011e-17,7
11,8,-11.920273609719539,-3.995431774508315,-18.646210737130765,3021583245.856579,1.577143759186977e+18,5.43537573532214e-20,1.5397378625931346e-18,7
11,9,-27.676494639879508,-3.755303923013004,-17.89447164101839,0.07302308343322268,39347683.772246554,5.1570726585505613e-20,2.6798217669154642e-18,6
12,0,-6.6263818919180375,-2.3926389388681155,-18.070033695052025,3.4687140305608184e+19,8.224548317730776e+28,3.2645171925232023e-21,4.7240918292956356e-17,8
12,1,-27.013867887757282,1.421915245621074,-18.72800907668708,0.04760894724808272,237978872.62510937,2.631015421765671e-20,1.216701628116192e-18,7
12,2,-27.517315041898435,-3.0087732744193074,-25.415199615580182,0.007688459645022447,43269649.85068893,1.3109629781565223e-28,1.3178073518814729e-17,6
12,3,-42.80063950946834,8.875522625966221,-19.08955980620027,3.744884260072211e-17,1.7376542825273193e-07,1.910203250680632e-20,1.944358254674e-18,7
12,4,-13.320304988580787,-0.7598440718703836,-18.30234562342011,22140548357623.742,1.4152051662541716e+23,4.75762287230411e-20,1.6401384713631382e-18,7
12,5,-8.916617517293616,5.353508522620714,-18.84488576878526,3.634956534289166e+17,2.1480611953907743e+27,2.994019193822092e-20,4.1600729545057563e-19,7
12,6,-17.062142469064412,6.013057014389376,-18.64806984405591,2590516152.1420455,8.371118400611242e+18,1.9045994158988303e-20,9.293619741983103e-19,7
12,7,-7.5615462481609566,-1.0721949620667366,-17.479146172461,1.7749209505356552e+19,6.132499102673102e+28,6.778248769755197e-21,7.34639319507108e-18,6
