h11,cy_index,max_f_chol,max_log10_f_over_Mpl
235,0,4.7062349139181354e-08,-7.327326398606641
236,0,1.5053764764288132e-06,-5.822354874695383
237,0,4.5467829669961026e-07,-6.34229577561357
238,0,7.661350496955696e-07,-6.115694668790488
239,0,2.0311613154870805e-06,-5.692255583417557
240,0,4.653155861982003e-08,-7.332252400106956
241,0,2.3680857244569256e-07,-6.625602580249479
242,0,3.6878175709595207e-07,-6.433230570776003
243,0,1.1120008893055722e-07,-6.953894865433504
244,0,1.6300660894116675e-06,-5.787794787200374
245,0,1.4753150376380412e-07,-6.831115230873188
246,0,3.7252444124541965e-08,-7.42884522801691
247,0,5.639374172307443e-07,-6.248769089029786
248,0,3.024982303460597e-06,-5.519277161683212
249,0,4.924162635985009e-07,-6.307667611560296
250,0,2.1791023682323553e-06,-5.661722367314937
251,0,3.95637500104663e-08,-7.402702550955871
252,0,3.623433270469177e-07,-6.440879732285227
253,0,7.689821226398276e-08,-7.114083756595347
254,0,1.2378148628226595e-07,-6.907344306904868
255,0,4.570517093304906e-07,-6.340034662498012
256,0,2.9102273938153694e-07,-6.53607307561171
257,0,2.753412988996802e-07,-6.560128643168762
258,0,1.3208256996100974e-06,-5.879154489495211
259,0,1.3711044467497274e-06,-5.86292946065958
260,0,4.0929256712200507e-07,-6.387966142203519
261,0,6.947238779226703e-08,-7.158187774003373
262,0,1.094454920123936e-06,-5.960802122030828
263,0,3.3198414465522753e-08,-7.47888265741998
264,0,1.2406878926454924e-06,-5.906337455849722
265,0,1.6509269578839756e-08,-7.782272140843602
266,0,1.3799945154198537e-07,-6.860122639633276
267,0,5.154914696081342e-08,-7.287778517058968
268,0,4.100782837511281e-06,-5.387133228753896
269,0,1.5462263483526595e-08,-7.810726930440261
270,0,1.453196757949643e-07,-6.837675579709784
271,0,1.053933543399424e-08,-7.977186773036989
272,0,6.52701392761125e-08,-7.185285460587575
273,0,5.534826137062363e-07,-6.25689601686301
274,0,1.6709996812278277e-06,-5.777023632955806
275,0,9.207872972875215e-07,-6.0358406806423694
276,0,6.69364445984776e-09,-8.174337359385913
277,0,1.7928781996666644e-07,-6.746449213510558
278,0,1.8277801269112585e-07,-6.738076048980963
279,0,1.6239636968112075e-06,-5.7894236835005035
280,0,3.6619349143669467e-09,-8.436289378926316
281,0,1.6914704059684354e-07,-6.7717355962425625
282,0,3.347564709415579e-06,-5.475271019194074
283,0,2.3159355015415256e-06,-5.635273539812761
284,0,1.1741304744018423e-06,-5.930283639745778
285,0,2.1536932711818764e-07,-6.666816148818271
286,0,2.81157095793275e-08,-7.551050951368604
287,0,4.15931296652313e-08,-7.38097840001971
288,0,1.5417748786317993e-06,-5.811979034913765
289,0,4.201889339471316e-07,-6.376555389314599
290,0,1.1585090265001046e-07,-6.93610057806398
291,0,1.6333292240537443e-06,-5.786926267327697
292,0,4.5160630146908106e-07,-6.345240006795438
293,0,2.328750805632239e-06,-5.632876981851331
294,0,5.928450903599902e-08,-7.227058772387343
295,0,1.1275704295274618e-06,-5.947856322000012
296,0,1.2661353102974218e-07,-6.897519879330229
297,0,1.6028943096124881e-07,-6.795095112870644
298,0,1.5513999487030214e-07,-6.809276227251764
299,0,1.621927965017449e-07,-6.789968438096587
300,0,1.4546499760089055e-07,-6.837241495870831
301,0,2.8783217728645126e-07,-6.540860657109607
302,0,1.883241728350822e-07,-6.725093931416675
303,0,2.6514190439273544e-06,-5.576521628704715
304,0,1.7964515960276428e-08,-7.745584480024207
305,0,1.744714090695262e-07,-6.758275731459356
306,0,1.56258243188469e-06,-5.80615706277214
307,0,1.5132849668199743e-07,-6.820079282245071
308,0,1.051119634207983e-06,-5.978347851507892
309,0,1.1934643068179952e-07,-6.923190564997222
310,0,1.1968937755686802e-07,-6.921944391558038
311,0,1.5175267853889305e-07,-6.818863634589479
312,0,1.0942044789181881e-06,-5.960901511852945
313,0,5.710122214588098e-08,-7.243354596385815
314,0,2.180421437572189e-08,-7.661459556706009
315,0,8.96036565286598e-07,-6.047674267371158
316,0,3.8657216577295353e-07,-6.412769419542844
317,0,1.4042187857644035e-06,-5.852565221232091
318,0,6.190967612388192e-08,-7.2082414679622016
319,0,1.0668153497683558e-07,-6.971910744133515
320,0,1.0903098100736999e-06,-5.962450080327538
321,0,2.0696987723869157e-07,-6.684092857929407
322,0,1.0796404398963032e-06,-5.966720856521148
323,0,2.0478030479793554e-08,-7.688711814927116
324,0,1.136601215017746e-06,-5.94439188403366
325,0,2.388471947795039e-08,-7.621879855066984
326,0,1.0966761281858354e-07,-6.959921609899317
327,0,1.3524171067133335e-07,-6.868889344484043
328,0,1.3580741865838614e-07,-6.86707650550177
329,0,7.662201640786638e-07,-6.115646423179269
330,0,1.3965983434987859e-06,-5.8549284774101125
331,0,1.0465866046431678e-06,-5.980224828135227
332,0,1.2359767136719407e-06,-5.9079897114632605
334,0,1.4441375017340219e-08,-7.840391453995366
336,0,2.0849123183873432e-08,-7.680912204690825
337,0,6.927858895117189e-07,-6.159400966501109
338,0,7.323219217802128e-07,-6.135297965227232
339,0,1.0518506953205255e-07,-6.9780459016273415
340,0,1.0489382608041792e-07,-6.979250073084932
341,0,8.18867836244086e-07,-6.086786186910664
345,0,3.585156182713632e-07,-6.445491920104066
346,0,1.1258031143024144e-06,-5.94853755428793
347,0,5.0710962865141914e-08,-7.294898143286716
348,0,2.209963452647104e-06,-5.65561490841667
350,0,1.518880040311312e-08,-7.818476524944398
355,0,5.790745479891963e-07,-6.237265523152902
356,0,9.542467031479113e-08,-7.0203393318317255
357,0,1.2032855142391779e-07,-6.919631311524286
358,0,6.206803690814279e-07,-6.207131990291151
366,0,6.388725833690489e-07,-6.194585748817332
369,0,9.229772012748132e-08,-7.034809026474446
370,0,6.739409276950307e-07,-6.171378168598798
375,0,1.0053622954493853e-06,-5.9976774063422065
376,0,1.5079316186714132e-07,-6.821618352303791
377,0,1.4614923305189004e-08,-7.835203459350034
386,0,8.658492854984537e-08,-7.062557697096646
387,0,8.523025024984573e-07,-6.069406236396454
399,0,8.27727377624229e-08,-7.082112679989633
404,0,9.983498188088992e-07,-6.000717256549967
416,0,6.332623215474244e-07,-6.198416351276072
